Designator,Mid X,Mid Y,Rotation,Layer
NT801,30.065628,-62.522382,90.0,top
NT1101,5.398438,-54.84003,90.0,top
NT1201,-23.680663,-60.910831,0.0,top
NT1301,-26.314991,-43.955619,180.0,top
NT1601,-8.958269,-58.828268,270.0,top
PCB101,-28.0,-31.9,0.0,top
Q101,0.309824,-52.692624,270.0,top
Q502,-3.967693,58.548525,270.0,top
Q503,-8.643608,58.598525,270.0,top
Q504,-12.555108,59.739672,0.0,top
Q1001,-11.882761,33.866295,90.0,top
R101,-4.822676,-54.642624,180.0,top
R102,-9.963742,-28.125688,90.0,top
R105,31.109992,-38.21,180.0,top
R106,32.114992,-25.935,90.0,top
R201,-11.351111,-28.713031,0.0,top
R202,-11.683611,-27.845531,90.0,top
R203,-28.453678,-49.051359,180.0,top
R204,-28.171178,-49.883859,270.0,top
R205,35.285199,-6.414271,90.0,top
R206,38.754353,-1.354702,90.0,top
R207,38.764353,0.255298,90.0,top
R208,31.115623,-1.371773,90.0,top
R209,31.115623,0.228227,90.0,top
R401,38.398993,9.395694,270.0,top
R402,38.40623,12.139113,270.0,top
R403,31.783248,11.554567,90.0,top
R404,33.428248,6.281941,180.0,top
R405,34.698248,16.829567,180.0,top
R406,27.572065,8.151309,180.0,top
R407,27.572065,15.151309,180.0,top
R408,25.412065,7.151309,180.0,top
R409,25.412065,16.151309,180.0,top
R410,11.904438,-7.382416,90.0,top
R411,12.116662,17.17464,270.0,top
R412,21.551311,9.741997,180.0,top
R413,21.551311,13.644247,180.0,top
R414,13.984201,3.651941,270.0,top
R415,13.107701,3.651941,270.0,top
R416,16.702589,1.23268,90.0,top
R417,15.802589,1.23268,90.0,top
R418,11.408325,1.27713,270.0,top
R507,-40.865503,-14.702515,90.0,top
R508,-15.736727,57.998568,0.0,top
R509,-23.400962,41.12387,0.0,top
R510,-23.226289,38.583605,180.0,top
R511,-3.633614,60.701926,0.0,top
R512,-3.655193,56.098525,180.0,top
R513,-6.655193,56.098525,0.0,top
R514,-3.655193,54.599259,0.0,top
R515,-6.655193,54.601141,180.0,top
R516,-3.655193,53.099259,180.0,top
R517,-6.655193,53.105339,0.0,top
R518,10.466348,44.212474,0.0,top
R519,9.09498,40.105227,90.0,top
R520,-14.486727,58.398568,270.0,top
R521,9.09498,38.405227,270.0,top
R522,-13.755108,61.789672,0.0,top
R523,-12.155108,61.789672,0.0,top
R601,20.31145,-8.690306,180.0,top
R602,22.761764,-9.573535,270.0,top
R603,21.144992,-7.234271,90.0,top
R701,4.089792,-29.807574,180.0,top
R702,4.089792,-28.807574,180.0,top
R703,4.089792,-26.807574,0.0,top
